TID,breadcrumb,category_name,property_type,building_size,land_size,preferred_size,price,location_number,city,zip_code,bedroom_count,bathroom_count,parking_count
1351040,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,197.166,197.166,197.166,197.166,197.166,Darwin City,800,197.166,197.166,197.166
1351041,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,197.166,197.166,197.166,197.166,197.166,Darwin City,800,197.166,197.166,197.166
1351042,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,134.2,134.2,134.2,134.2,134.2,Darwin City,800,134.2,134.2,134.2
1351043,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,93.0,93.0,93.0,93.0,93.0,Darwin City,800,93.0,93.0,93.0
1351044,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,53.0,53.0,53.0,53.0,53.0,Darwin City,800,53.0,53.0,53.0
1351045,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,181.0,181.0,181.0,181.0,181.0,Darwin City,800,181.0,181.0,181.0
1351046,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,138.0,138.0,138.0,138.0,138.0,Darwin City,800,138.0,138.0,138.0
1351019,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,48.0,48.0,48.0,48.0,48.0,Darwin City,800,48.0,48.0,48.0
1351047,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,185.0,185.0,185.0,185.0,185.0,Darwin City,800,185.0,185.0,185.0
1351018,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,142.4,142.4,142.4,142.4,142.4,Darwin City,800,142.4,142.4,142.4
1351016,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,305.6,305.6,305.6,305.6,305.6,Darwin City,800,305.6,305.6,305.6
1350989,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,171.0,171.0,171.0,171.0,171.0,Darwin City,800,171.0,171.0,171.0
1350990,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,225.4,225.4,225.4,225.4,225.4,Darwin City,800,225.4,225.4,225.4
1350991,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,213.6,213.6,213.6,213.6,213.6,Darwin City,800,213.6,213.6,213.6
1350992,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,201.0,201.0,201.0,201.0,201.0,Darwin City,800,201.0,201.0,201.0
1350993,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,218.0,218.0,218.0,218.0,218.0,Darwin City,800,218.0,218.0,218.0
1350994,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,215.6,215.6,215.6,215.6,215.6,Darwin City,800,215.6,215.6,215.6
1350995,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,199.8,199.8,199.8,199.8,199.8,Darwin City,800,199.8,199.8,199.8
1350996,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,203.8,203.8,203.8,203.8,203.8,Darwin City,800,203.8,203.8,203.8
1350997,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,245.2,245.2,245.2,245.2,245.2,Darwin City,800,245.2,245.2,245.2
1350998,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,245.2,245.2,245.2,245.2,245.2,Darwin City,800,245.2,245.2,245.2
1350999,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,176.6,176.6,176.6,176.6,176.6,Darwin City,800,176.6,176.6,176.6
1351000,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,173.0,173.0,173.0,173.0,173.0,Darwin City,800,173.0,173.0,173.0
1351001,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,236.0,236.0,236.0,236.0,236.0,Darwin City,800,236.0,236.0,236.0
1351002,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,181.0,181.0,181.0,181.0,181.0,Darwin City,800,181.0,181.0,181.0
1351003,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,153.0,153.0,153.0,153.0,153.0,Darwin City,800,153.0,153.0,153.0
1351004,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,69.0,69.0,69.0,69.0,69.0,Darwin City,800,69.0,69.0,69.0
1351005,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,62.0,62.0,62.0,62.0,62.0,Darwin City,800,62.0,62.0,62.0
1351006,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,96.2,96.2,96.2,96.2,96.2,Darwin City,800,96.2,96.2,96.2
1351007,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,138.0,138.0,138.0,138.0,138.0,Darwin City,800,138.0,138.0,138.0
1351008,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,134.0,134.0,134.0,134.0,134.0,Darwin City,800,134.0,134.0,134.0
1351009,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,155.0,155.0,155.0,155.0,155.0,Darwin City,800,155.0,155.0,155.0
1351010,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,114.0,114.0,114.0,114.0,114.0,Darwin City,800,114.0,114.0,114.0
1351011,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,290.4,290.4,290.4,290.4,290.4,Darwin City,800,290.4,290.4,290.4
1351012,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,285.0,285.0,285.0,285.0,285.0,Darwin City,800,285.0,285.0,285.0
1351013,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,285.0,285.0,285.0,285.0,285.0,Darwin City,800,285.0,285.0,285.0
1351014,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,340.0,340.0,340.0,340.0,340.0,Darwin City,800,340.0,340.0,340.0
1351015,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,162.2,162.2,162.2,162.2,162.2,Darwin City,800,162.2,162.2,162.2
1351017,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,51.0,51.0,51.0,51.0,51.0,Darwin City,800,51.0,51.0,51.0
1351048,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,211.6,211.6,211.6,211.6,211.6,Darwin City,800,211.6,211.6,211.6
1351049,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,180.2,180.2,180.2,180.2,180.2,Darwin City,800,180.2,180.2,180.2
1351050,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,163.26,163.26,163.26,163.26,163.26,Darwin City,800,163.26,163.26,163.26
1351083,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,210.85999999999999,210.85999999999999,210.85999999999999,210.85999999999999,210.85999999999999,Darwin City,800,210.85999999999999,210.85999999999999,210.85999999999999
1351084,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,200.0,200.0,200.0,200.0,200.0,Darwin City,800,200.0,200.0,200.0
1351085,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,149.66,149.66,149.66,149.66,149.66,Darwin City,800,149.66,149.66,149.66
1351086,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,149.66,149.66,149.66,149.66,149.66,Darwin City,800,149.66,149.66,149.66
1351087,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,168.8,168.8,168.8,168.8,168.8,Darwin City,800,168.8,168.8,168.8
1351088,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,168.32,168.32,168.32,168.32,168.32,Darwin City,800,168.32,168.32,168.32
1351089,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,172.06,172.06,172.06,172.06,172.06,Darwin City,800,172.06,172.06,172.06
1351090,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,176.932,176.932,176.932,176.932,176.932,Darwin City,800,176.932,176.932,176.932
1351091,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,176.932,176.932,176.932,176.932,176.932,Darwin City,800,176.932,176.932,176.932
1351092,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,176.932,176.932,176.932,176.932,176.932,Darwin City,800,176.932,176.932,176.932
1351093,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,146.732,146.732,146.732,146.732,146.732,Darwin City,800,146.732,146.732,146.732
1351094,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,102.8,102.8,102.8,102.8,102.8,Darwin City,800,102.8,102.8,102.8
1351095,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,102.8,102.8,102.8,102.8,102.8,Darwin City,800,102.8,102.8,102.8
1351096,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,101.212,101.212,101.212,101.212,101.212,Darwin City,800,101.212,101.212,101.212
1351097,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,101.212,101.212,101.212,101.212,101.212,Darwin City,800,101.212,101.212,101.212
1351098,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Studio,52.0,52.0,52.0,52.0,52.0,Darwin City,800,52.0,52.0,52.0
1351099,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,101.212,101.212,101.212,101.212,101.212,Darwin City,800,101.212,101.212,101.212
1351100,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,18.0,18.0,18.0,18.0,18.0,Darwin City,800,18.0,18.0,18.0
1351101,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,109.4,109.4,109.4,109.4,109.4,Darwin City,800,109.4,109.4,109.4
1351102,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,109.4,109.4,109.4,109.4,109.4,Darwin City,800,109.4,109.4,109.4
1351103,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,33.0,33.0,33.0,33.0,33.0,Darwin City,800,33.0,33.0,33.0
1351104,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,109.4,109.4,109.4,109.4,109.4,Darwin City,800,109.4,109.4,109.4
1351105,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,231.0,231.0,231.0,231.0,231.0,Darwin City,800,231.0,231.0,231.0
1351106,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,109.4,109.4,109.4,109.4,109.4,Darwin City,800,109.4,109.4,109.4
1351107,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,213.0,213.0,213.0,213.0,213.0,Darwin City,800,213.0,213.0,213.0
1351108,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,135.6,135.6,135.6,135.6,135.6,Darwin City,800,135.6,135.6,135.6
1351109,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,183.0,183.0,183.0,183.0,183.0,Darwin City,800,183.0,183.0,183.0
1351082,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,210.85999999999999,210.85999999999999,210.85999999999999,210.85999999999999,210.85999999999999,Darwin City,800,210.85999999999999,210.85999999999999,210.85999999999999
1351081,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,362.86,362.86,362.86,362.86,362.86,Darwin City,800,362.86,362.86,362.86
1351080,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,366.8,366.8,366.8,366.8,366.8,Darwin City,800,366.8,366.8,366.8
1351079,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,324.4,324.4,324.4,324.4,324.4,Darwin City,800,324.4,324.4,324.4
1351051,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,163.26,163.26,163.26,163.26,163.26,Darwin City,800,163.26,163.26,163.26
1351052,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,163.26,163.26,163.26,163.26,163.26,Darwin City,800,163.26,163.26,163.26
1351053,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,198.0,198.0,198.0,198.0,198.0,Darwin City,800,198.0,198.0,198.0
1351054,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,33.0,33.0,33.0,33.0,33.0,Darwin City,800,33.0,33.0,33.0
1351055,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,112.4,112.4,112.4,112.4,112.4,Darwin City,800,112.4,112.4,112.4
1351056,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,226.0,226.0,226.0,226.0,226.0,Darwin City,800,226.0,226.0,226.0
1351057,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,255.0,255.0,255.0,255.0,255.0,Darwin City,800,255.0,255.0,255.0
1351058,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,229.0,229.0,229.0,229.0,229.0,Darwin City,800,229.0,229.0,229.0
1351059,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,170.0,170.0,170.0,170.0,170.0,Darwin City,800,170.0,170.0,170.0
1351060,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,66.0,66.0,66.0,66.0,66.0,Darwin City,800,66.0,66.0,66.0
1351061,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,90.6,90.6,90.6,90.6,90.6,Darwin City,800,90.6,90.6,90.6
1351062,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,130.6,130.6,130.6,130.6,130.6,Darwin City,800,130.6,130.6,130.6
1351063,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,83.0,83.0,83.0,83.0,83.0,Darwin City,800,83.0,83.0,83.0
1351111,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,135.6,135.6,135.6,135.6,135.6,Darwin City,800,135.6,135.6,135.6
1351064,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,110.0,110.0,110.0,110.0,110.0,Darwin City,800,110.0,110.0,110.0
1351066,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,218.2,218.2,218.2,218.2,218.2,Darwin City,800,218.2,218.2,218.2
1351067,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,150.0,150.0,150.0,150.0,150.0,Darwin City,800,150.0,150.0,150.0
1351068,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,218.2,218.2,218.2,218.2,218.2,Darwin City,800,218.2,218.2,218.2
1351069,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,218.2,218.2,218.2,218.2,218.2,Darwin City,800,218.2,218.2,218.2
1351070,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,233.2,233.2,233.2,233.2,233.2,Darwin City,800,233.2,233.2,233.2
1351071,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,233.2,233.2,233.2,233.2,233.2,Darwin City,800,233.2,233.2,233.2
1351072,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,153.0,153.0,153.0,153.0,153.0,Darwin City,800,153.0,153.0,153.0
1351073,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,233.2,233.2,233.2,233.2,233.2,Darwin City,800,233.2,233.2,233.2
1351074,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,233.2,233.2,233.2,233.2,233.2,Darwin City,800,233.2,233.2,233.2
1351075,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,282.6,282.6,282.6,282.6,282.6,Darwin City,800,282.6,282.6,282.6
1351076,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,80.0,80.0,80.0,80.0,80.0,Darwin City,800,80.0,80.0,80.0
1351077,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,143.0,143.0,143.0,143.0,143.0,Darwin City,800,143.0,143.0,143.0
1351078,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,163.0,163.0,163.0,163.0,163.0,Darwin City,800,163.0,163.0,163.0
1351065,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,191.4,191.4,191.4,191.4,191.4,Darwin City,800,191.4,191.4,191.4
1351236,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,194.4,194.4,194.4,194.4,194.4,Moulden,830,194.4,194.4,194.4
1351237,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Apartment,194.4,194.4,194.4,194.4,194.4,Rapid Creek,810,194.4,194.4,194.4
1351238,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,317.0,317.0,317.0,317.0,317.0,Rosebery,832,317.0,317.0,317.0
1351396,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Townhouse,290.4,290.4,290.4,290.4,290.4,Rosebery,832,290.4,290.4,290.4
1351397,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,285.0,285.0,285.0,285.0,285.0,Farrar,830,285.0,285.0,285.0
1351398,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Unit,285.0,285.0,285.0,285.0,285.0,Darwin City,800,285.0,285.0,285.0
1351399,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Unit,285.0,285.0,285.0,285.0,285.0,Darwin City,800,285.0,285.0,285.0
1351400,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Unit,340.0,340.0,340.0,340.0,340.0,Darwin City,800,340.0,340.0,340.0
1351401,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",Unit,285.0,285.0,285.0,285.0,285.0,Stuart Park,820,285.0,285.0,285.0
1351402,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,196.0,196.0,196.0,196.0,196.0,Bellamack,832,196.0,196.0,196.0
1351403,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,285.0,285.0,285.0,285.0,285.0,Woodroffe,830,285.0,285.0,285.0
1351404,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,303.0,303.0,303.0,303.0,303.0,Gunn,832,303.0,303.0,303.0
1351405,Buy>NT>DARWIN,"Real Estate & Property for sale in DARWIN, NT 0801",House,241.0,241.0,241.0,241.0,241.0,Wagaman,810,241.0,241.0,241.0
